OCC_CODE,Commodity Title,Example
11-1011,Accounting software,Intuit QuickBooks
11-1011,Business intelligence and data analysis software,Tableau
11-1011,Cloud-based data access and sharing software,Microsoft SharePoint
11-1011,Content workflow software,Atlassian JIRA
11-1011,Customer relationship management CRM software,Salesforce software
11-1011,Data base user interface and query software,Structured query language SQL
11-1011,Document management software,Adobe Acrobat
11-1011,Electronic mail software,Microsoft Outlook
11-1011,Enterprise application integration software,Extensible markup language XML
11-1011,Enterprise resource planning ERP software,SAP software
11-1011,Graphics or photo imaging software,Adobe Photoshop
11-1011,Office suite software,Microsoft Office software
11-1011,Presentation software,Microsoft PowerPoint
11-1011,Project management software,Microsoft Project
11-1011,Spreadsheet software,Microsoft Excel
11-1011,Web page creation and editing software,Facebook
11-1011,Web platform development software,PHP
11-1011,Word processing software,Microsoft Word
11-1021,Accounting software,Intuit QuickBooks
11-1021,Analytical or scientific software,The MathWorks MATLAB
11-1021,Business intelligence and data analysis software,Tableau
11-1021,Cloud-based data access and sharing software,Slack
11-1021,Cloud-based management software,Splunk Enterprise
11-1021,Computer aided design CAD software,Autodesk AutoCAD
11-1021,Configuration management software,Puppet
11-1021,Content workflow software,Atlassian JIRA
11-1021,Customer relationship management CRM software,Salesforce software
11-1021,Data base management system software,Teradata Database
11-1021,Data base user interface and query software,Yardi software
11-1021,Data mining software,Google Analytics
11-1021,Development environment software,Microsoft Visual Basic for Applications VBA
11-1021,Document management software,Adobe Acrobat
11-1021,Electronic mail software,Microsoft Outlook
11-1021,Enterprise application integration software,Extensible markup language XML
11-1021,Enterprise resource planning ERP software,SAP software
11-1021,Graphics or photo imaging software,Adobe Photoshop
11-1021,Object or component oriented development software,R
11-1021,Object oriented data base management software,PostgreSQL
11-1021,Office suite software,Microsoft Office software
11-1021,Operating system software,Shell script
11-1021,Presentation software,Microsoft PowerPoint
11-1021,Process mapping and design software,Microsoft Visio
11-1021,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-1021,Sales and marketing software,Marketo Marketing Automation
11-1021,Spreadsheet software,Microsoft Excel
11-1021,Time accounting software,Kronos Workforce Timekeeper
11-1021,Web page creation and editing software,Facebook
11-1021,Word processing software,Microsoft Word
11-1031,Cloud-based data access and sharing software,Microsoft SharePoint
11-1031,Data base user interface and query software,Structured query language SQL
11-1031,Development environment software,Microsoft Visual Basic
11-1031,Document management software,Adobe Acrobat
11-1031,Electronic mail software,Microsoft Outlook
11-1031,Office suite software,Microsoft Office software
11-1031,Spreadsheet software,Microsoft Excel
11-1031,Video conferencing software,Cisco Webex
11-1031,Word processing software,Microsoft Word
11-2011,Analytical or scientific software,Google Analytics
11-2011,Business intelligence and data analysis software,Tableau
11-2011,Cloud-based data access and sharing software,Microsoft SharePoint
11-2011,Customer relationship management CRM software,Salesforce software
11-2011,Data base management system software,Microsoft SQL Server
11-2011,Data base user interface and query software,Microsoft Access
11-2011,Desktop publishing software,Adobe InDesign
11-2011,Document management software,Adobe Acrobat
11-2011,Electronic mail software,Microsoft Outlook
11-2011,Enterprise application integration software,Extensible markup language XML
11-2011,Enterprise resource planning ERP software,SAP software
11-2011,Graphics or photo imaging software,Adobe Photoshop
11-2011,Office suite software,Microsoft Office software
11-2011,Operating system software,Microsoft Windows
11-2011,Presentation software,Microsoft PowerPoint
11-2011,Project management software,Microsoft Project
11-2011,Sales and marketing software,Marketo Marketing Automation
11-2011,Spreadsheet software,Microsoft Excel
11-2011,Video creation and editing software,Adobe After Effects
11-2011,Web page creation and editing software,WordPress
11-2011,Web platform development software,JavaScript
11-2011,Word processing software,Microsoft Word
11-2021,Accounting software,Intuit QuickBooks
11-2021,Analytical or scientific software,The MathWorks MATLAB
11-2021,Application server software,GitHub
11-2021,Business intelligence and data analysis software,Tableau
11-2021,Cloud-based data access and sharing software,Slack
11-2021,Cloud-based management software,Splunk Enterprise
11-2021,Content workflow software,Atlassian JIRA
11-2021,Customer relationship management CRM software,Salesforce software
11-2021,Data base management system software,Teradata Database
11-2021,Data base user interface and query software,Yardi software
11-2021,Data mining software,Google Analytics
11-2021,Desktop publishing software,Adobe InDesign
11-2021,Development environment software,Ruby
11-2021,Document management software,Adobe Acrobat
11-2021,Electronic mail software,Microsoft Outlook
11-2021,Enterprise application integration software,Extensible markup language XML
11-2021,Enterprise resource planning ERP software,SAP software
11-2021,Graphical user interface development software,Figma
11-2021,Graphics or photo imaging software,Canva
11-2021,Object or component oriented development software,Swift
11-2021,Office suite software,Microsoft Office software
11-2021,Operating system software,Apple macOS
11-2021,Presentation software,Microsoft PowerPoint
11-2021,Process mapping and design software,Microsoft Visio
11-2021,Project management software,Microsoft Teams
11-2021,Sales and marketing software,Marketo Marketing Automation
11-2021,Spreadsheet software,Microsoft Excel
11-2021,Video creation and editing software,TikTok
