O*NET-SOC Code,Element Name,Scale ID,Data Value,OCC_CODE,LV
11-1011.00,Judgment and Decision Making,IM,4.75,11-1011,5.38
11-1011.00,Complex Problem Solving,IM,4.38,11-1011,4.88
11-1011.00,Critical Thinking,IM,4.38,11-1011,4.75
11-1011.00,Coordination,IM,4.25,11-1011,4.88
11-1011.00,Management of Financial Resources,IM,4.25,11-1011,5.25
11-1011.00,Management of Personnel Resources,IM,4.25,11-1011,5.25
11-1011.00,Speaking,IM,4.25,11-1011,4.75
11-1011.00,Systems Evaluation,IM,4.25,11-1011,5
11-1011.00,Negotiation,IM,4.12,11-1011,4.75
11-1011.00,Reading Comprehension,IM,4.12,11-1011,4.62
11-1011.03,Critical Thinking,IM,4.12,11-1011,4.12
11-1011.03,Writing,IM,4.12,11-1011,4.25
11-1011.03,Active Listening,IM,4,11-1011,4
11-1011.03,Complex Problem Solving,IM,4,11-1011,4.12
11-1011.03,Reading Comprehension,IM,4,11-1011,4.25
11-1011.03,Speaking,IM,4,11-1011,4.12
11-1011.03,Judgment and Decision Making,IM,3.88,11-1011,4
11-1011.03,Persuasion,IM,3.88,11-1011,4
11-1011.03,Social Perceptiveness,IM,3.88,11-1011,3.88
11-1011.03,Systems Analysis,IM,3.88,11-1011,4
11-1021.00,Active Listening,IM,4,11-1021,4.12
11-1021.00,Monitoring,IM,4,11-1021,4.12
11-1021.00,Reading Comprehension,IM,4,11-1021,4
11-1021.00,Speaking,IM,4,11-1021,4.12
11-1021.00,Coordination,IM,3.88,11-1021,4
11-1021.00,Critical Thinking,IM,3.88,11-1021,3.88
11-1021.00,Management of Personnel Resources,IM,3.75,11-1021,4
11-1021.00,Social Perceptiveness,IM,3.75,11-1021,4
11-1021.00,Active Learning,IM,3.62,11-1021,3.75
11-1021.00,Complex Problem Solving,IM,3.62,11-1021,3.88
11-2011.00,Active Listening,IM,4.12,11-2011,4.12
11-2011.00,Critical Thinking,IM,4,11-2011,4.12
11-2011.00,Social Perceptiveness,IM,4,11-2011,4
11-2011.00,Speaking,IM,4,11-2011,4.12
11-2011.00,Judgment and Decision Making,IM,3.75,11-2011,4
11-2011.00,Reading Comprehension,IM,3.75,11-2011,4
11-2011.00,Writing,IM,3.75,11-2011,3.88
11-2011.00,Complex Problem Solving,IM,3.5,11-2011,3.88
11-2011.00,Coordination,IM,3.5,11-2011,4.12
11-2011.00,Time Management,IM,3.5,11-2011,3.88
11-2021.00,Active Learning,IM,3.88,11-2021,4.12
11-2021.00,Active Listening,IM,3.88,11-2021,4.12
11-2021.00,Critical Thinking,IM,3.88,11-2021,4.25
11-2021.00,Reading Comprehension,IM,3.88,11-2021,4.25
11-2021.00,Social Perceptiveness,IM,3.88,11-2021,4
11-2021.00,Speaking,IM,3.88,11-2021,4.12
11-2021.00,Judgment and Decision Making,IM,3.75,11-2021,4
11-2021.00,Monitoring,IM,3.75,11-2021,4.25
11-2021.00,Persuasion,IM,3.75,11-2021,4.38
11-2021.00,Complex Problem Solving,IM,3.62,11-2021,3.88
11-2022.00,Persuasion,IM,4.12,11-2022,4.38
11-2022.00,Active Listening,IM,4,11-2022,4
11-2022.00,Speaking,IM,4,11-2022,4.12
11-2022.00,Coordination,IM,3.88,11-2022,4.12
11-2022.00,Critical Thinking,IM,3.88,11-2022,4
11-2022.00,Negotiation,IM,3.88,11-2022,3.88
11-2022.00,Reading Comprehension,IM,3.88,11-2022,4
11-2022.00,Service Orientation,IM,3.88,11-2022,3.88
11-2022.00,Social Perceptiveness,IM,3.88,11-2022,4.12
11-2022.00,Active Learning,IM,3.75,11-2022,3.88
11-3012.00,Active Listening,IM,4,11-3012,4
11-3012.00,Reading Comprehension,IM,4,11-3012,4
11-3012.00,Time Management,IM,4,11-3012,4
11-3012.00,Speaking,IM,3.88,11-3012,3.88
11-3012.00,Coordination,IM,3.75,11-3012,3.62
11-3012.00,Critical Thinking,IM,3.75,11-3012,3.88
11-3012.00,Writing,IM,3.75,11-3012,3.75
11-3012.00,Negotiation,IM,3.62,11-3012,3.25
11-3012.00,Management of Personnel Resources,IM,3.38,11-3012,3.75
11-3012.00,Monitoring,IM,3.38,11-3012,3.62
11-3013.00,Speaking,IM,3.88,11-3013,3.75
11-3013.00,Active Listening,IM,3.75,11-3013,3.75
11-3013.00,Critical Thinking,IM,3.75,11-3013,3.75
11-3013.00,Monitoring,IM,3.75,11-3013,3.88
11-3013.00,Reading Comprehension,IM,3.75,11-3013,3.88
11-3013.00,Coordination,IM,3.62,11-3013,3.75
11-3013.00,Social Perceptiveness,IM,3.62,11-3013,3.62
11-3013.00,Judgment and Decision Making,IM,3.5,11-3013,3.38
11-3013.00,Management of Personnel Resources,IM,3.5,11-3013,3.62
11-3013.00,Complex Problem Solving,IM,3.38,11-3013,3.38
11-3021.00,Critical Thinking,IM,4.12,11-3021,4
11-3021.00,Active Listening,IM,4,11-3021,4
11-3021.00,Reading Comprehension,IM,4,11-3021,4
11-3021.00,Judgment and Decision Making,IM,3.88,11-3021,3.75
11-3021.00,Monitoring,IM,3.88,11-3021,4.38
11-3021.00,Speaking,IM,3.88,11-3021,3.88
11-3021.00,Complex Problem Solving,IM,3.75,11-3021,3.88
11-3021.00,Coordination,IM,3.75,11-3021,3.88
11-3021.00,Writing,IM,3.75,11-3021,4
11-3021.00,Management of Personnel Resources,IM,3.62,11-3021,3.75
11-3031.00,Active Listening,IM,4,11-3031,4.38
11-3031.00,Critical Thinking,IM,4,11-3031,4.25
11-3031.00,Reading Comprehension,IM,4,11-3031,4.38
11-3031.00,Speaking,IM,4,11-3031,4.12
11-3031.00,Monitoring,IM,3.75,11-3031,4.12
11-3031.00,Writing,IM,3.75,11-3031,3.62
11-3031.00,Complex Problem Solving,IM,3.62,11-3031,3.88
11-3031.00,Coordination,IM,3.62,11-3031,3.75
11-3031.00,Judgment and Decision Making,IM,3.62,11-3031,3.88
11-3031.00,Management of Personnel Resources,IM,3.62,11-3031,4
11-3031.01,Complex Problem Solving,IM,4.12,11-3031,4.38
11-3031.01,Critical Thinking,IM,4.12,11-3031,4.75
11-3031.01,Judgment and Decision Making,IM,4.12,11-3031,4.62
11-3031.01,Reading Comprehension,IM,4.12,11-3031,4.25
11-3031.01,Management of Financial Resources,IM,4,11-3031,5
11-3031.01,Speaking,IM,4,11-3031,4.25
11-3031.01,Active Listening,IM,3.88,11-3031,4.25
11-3031.01,Monitoring,IM,3.88,11-3031,4.5
11-3031.01,Mathematics,IM,3.75,11-3031,4.25
11-3031.01,Active Learning,IM,3.62,11-3031,4.25
11-3031.03,Active Listening,IM,4,11-3031,4.12
11-3031.03,Critical Thinking,IM,4,11-3031,4
11-3031.03,Reading Comprehension,IM,4,11-3031,4.25
11-3031.03,Judgment and Decision Making,IM,3.88,11-3031,4.25
11-3031.03,Speaking,IM,3.88,11-3031,4.12
11-3031.03,Active Learning,IM,3.75,11-3031,3.88
11-3031.03,Complex Problem Solving,IM,3.75,11-3031,3.88
11-3031.03,Writing,IM,3.62,11-3031,3.88
11-3031.03,Monitoring,IM,3.5,11-3031,4
11-3031.03,Mathematics,IM,3.38,11-3031,3.62
11-3051.00,Coordination,IM,4,11-3051,4
11-3051.00,Critical Thinking,IM,4,11-3051,4
11-3051.00,Judgment and Decision Making,IM,4,11-3051,4.38
11-3051.00,Monitoring,IM,4,11-3051,4.88
11-3051.00,Speaking,IM,4,11-3051,4
11-3051.00,Active Listening,IM,3.88,11-3051,4
11-3051.00,Management of Personnel Resources,IM,3.88,11-3051,4.25
11-3051.00,Reading Comprehension,IM,3.88,11-3051,4
11-3051.00,Time Management,IM,3.88,11-3051,4.12
11-3051.00,Learning Strategies,IM,3.75,11-3051,4
11-3051.01,Judgment and Decision Making,IM,4,11-3051,4.12
11-3051.01,Quality Control Analysis,IM,4,11-3051,4.12
11-3051.01,Reading Comprehension,IM,4,11-3051,4.12
11-3051.01,Active Listening,IM,3.88,11-3051,4.12
11-3051.01,Monitoring,IM,3.88,11-3051,4.5
11-3051.01,Speaking,IM,3.88,11-3051,4.12
11-3051.01,Writing,IM,3.88,11-3051,4
11-3051.01,Complex Problem Solving,IM,3.75,11-3051,4.12
11-3051.01,Coordination,IM,3.75,11-3051,3.88
11-3051.01,Critical Thinking,IM,3.75,11-3051,4.12
11-3051.02,Critical Thinking,IM,4,11-3051,3.88
11-3051.02,Monitoring,IM,3.88,11-3051,4.38
11-3051.02,Reading Comprehension,IM,3.88,11-3051,4.25
11-3051.02,Speaking,IM,3.88,11-3051,4
11-3051.02,Coordination,IM,3.75,11-3051,3.62
11-3051.02,Judgment and Decision Making,IM,3.75,11-3051,3.62
11-3051.02,Active Listening,IM,3.62,11-3051,3.62
11-3051.02,Complex Problem Solving,IM,3.62,11-3051,3.62
11-3051.02,Management of Personnel Resources,IM,3.62,11-3051,3.88
11-3051.02,Time Management,IM,3.62,11-3051,3.88
11-3051.03,Critical Thinking,IM,3.88,11-3051,3.88
11-3051.03,Management of Personnel Resources,IM,3.88,11-3051,3.62
11-3051.03,Reading Comprehension,IM,3.88,11-3051,4
11-3051.03,Active Listening,IM,3.75,11-3051,3.88
11-3051.03,Monitoring,IM,3.75,11-3051,3.88
11-3051.03,Coordination,IM,3.62,11-3051,4
11-3051.03,Speaking,IM,3.62,11-3051,4
11-3051.03,Judgment and Decision Making,IM,3.5,11-3051,3.88
11-3051.03,Time Management,IM,3.5,11-3051,3.75
11-3051.03,Writing,IM,3.5,11-3051,3.5
11-3051.04,Critical Thinking,IM,4,11-3051,4
11-3051.04,Speaking,IM,4,11-3051,4
11-3051.04,Active Listening,IM,3.88,11-3051,3.88
11-3051.04,Monitoring,IM,3.88,11-3051,4.62
11-3051.04,Reading Comprehension,IM,3.88,11-3051,4.25
11-3051.04,Complex Problem Solving,IM,3.75,11-3051,3.75
11-3051.04,Coordination,IM,3.75,11-3051,4
11-3051.04,Judgment and Decision Making,IM,3.75,11-3051,3.88
11-3051.04,Management of Personnel Resources,IM,3.75,11-3051,4.12
11-3051.04,Time Management,IM,3.62,11-3051,3.75
11-3051.06,Active Listening,IM,4.12,11-3051,4
11-3051.06,Speaking,IM,4.12,11-3051,4.12
11-3051.06,Judgment and Decision Making,IM,3.88,11-3051,3.88
11-3051.06,Monitoring,IM,3.88,11-3051,3.75
11-3051.06,Reading Comprehension,IM,3.88,11-3051,4.12
11-3051.06,Critical Thinking,IM,3.75,11-3051,4
11-3051.06,Management of Personnel Resources,IM,3.75,11-3051,3.75
11-3051.06,Time Management,IM,3.75,11-3051,3.75
11-3051.06,Active Learning,IM,3.62,11-3051,3.62
11-3051.06,Complex Problem Solving,IM,3.62,11-3051,3.75
11-3061.00,Active Listening,IM,4,11-3061,4
11-3061.00,Management of Personnel Resources,IM,4,11-3061,4
11-3061.00,Speaking,IM,4,11-3061,4
11-3061.00,Monitoring,IM,3.88,11-3061,4
11-3061.00,Negotiation,IM,3.88,11-3061,4
11-3061.00,Reading Comprehension,IM,3.88,11-3061,4
11-3061.00,Social Perceptiveness,IM,3.88,11-3061,4
11-3061.00,Time Management,IM,3.88,11-3061,4
11-3061.00,Writing,IM,3.88,11-3061,4
11-3061.00,Coordination,IM,3.75,11-3061,3.88
11-3071.00,Active Listening,IM,3.88,11-3071,3.88
11-3071.00,Reading Comprehension,IM,3.88,11-3071,3.75
11-3071.00,Coordination,IM,3.75,11-3071,3.88
11-3071.00,Monitoring,IM,3.75,11-3071,3.75
11-3071.00,Active Learning,IM,3.62,11-3071,3.62
11-3071.00,Complex Problem Solving,IM,3.62,11-3071,3.62
11-3071.00,Critical Thinking,IM,3.62,11-3071,3.62
11-3071.00,Instructing,IM,3.62,11-3071,3.38
11-3071.00,Negotiation,IM,3.62,11-3071,3.62
11-3071.00,Speaking,IM,3.62,11-3071,3.75
11-3071.04,Active Listening,IM,4,11-3071,4
11-3071.04,Coordination,IM,4,11-3071,4
11-3071.04,Judgment and Decision Making,IM,4,11-3071,4
11-3071.04,Monitoring,IM,4,11-3071,4.12
11-3071.04,Reading Comprehension,IM,4,11-3071,4
11-3071.04,Speaking,IM,4,11-3071,4
11-3071.04,Time Management,IM,4,11-3071,4
11-3071.04,Complex Problem Solving,IM,3.88,11-3071,4
11-3071.04,Critical Thinking,IM,3.88,11-3071,4
11-3071.04,Systems Evaluation,IM,3.88,11-3071,3.88
11-3111.00,Active Listening,IM,4,11-3111,4.12
11-3111.00,Reading Comprehension,IM,4,11-3111,4.12
11-3111.00,Speaking,IM,4,11-3111,4.12
11-3111.00,Writing,IM,4,11-3111,4.12
11-3111.00,Critical Thinking,IM,3.88,11-3111,4
11-3111.00,Judgment and Decision Making,IM,3.88,11-3111,4
11-3111.00,Active Learning,IM,3.75,11-3111,4
11-3111.00,Management of Personnel Resources,IM,3.62,11-3111,3.75
11-3111.00,Time Management,IM,3.62,11-3111,3.75
11-3111.00,Social Perceptiveness,IM,3.5,11-3111,3.88
11-3121.00,Active Listening,IM,4.12,11-3121,4
11-3121.00,Management of Personnel Resources,IM,4.12,11-3121,4.5
11-3121.00,Speaking,IM,4.12,11-3121,4
11-3121.00,Judgment and Decision Making,IM,4,11-3121,4
11-3121.00,Reading Comprehension,IM,4,11-3121,4.12
11-3121.00,Complex Problem Solving,IM,3.88,11-3121,3.75
11-3121.00,Coordination,IM,3.88,11-3121,3.88
11-3121.00,Negotiation,IM,3.88,11-3121,4
11-3121.00,Social Perceptiveness,IM,3.88,11-3121,4
11-3121.00,Writing,IM,3.88,11-3121,4
11-3131.00,Learning Strategies,IM,4.25,11-3131,5.25
11-3131.00,Active Listening,IM,4,11-3131,4
11-3131.00,Instructing,IM,4,11-3131,4.75
11-3131.00,Reading Comprehension,IM,4,11-3131,4
11-3131.00,Speaking,IM,4,11-3131,4.5
11-3131.00,Coordination,IM,3.88,11-3131,3.75
11-3131.00,Monitoring,IM,3.88,11-3131,4
11-3131.00,Social Perceptiveness,IM,3.88,11-3131,3.75
11-3131.00,Writing,IM,3.88,11-3131,4.12
11-3131.00,Active Learning,IM,3.75,11-3131,4.25
11-9013.00,Active Listening,IM,3.88,11-9013,4
11-9013.00,Critical Thinking,IM,3.88,11-9013,4
11-9013.00,Reading Comprehension,IM,3.75,11-9013,4.25
11-9013.00,Complex Problem Solving,IM,3.62,11-9013,3.5
11-9013.00,Management of Personnel Resources,IM,3.62,11-9013,3.5
11-9013.00,Speaking,IM,3.62,11-9013,4.12
11-9013.00,Coordination,IM,3.5,11-9013,3.75
11-9013.00,Judgment and Decision Making,IM,3.5,11-9013,3.75
11-9013.00,Active Learning,IM,3.38,11-9013,3.62
11-9013.00,Monitoring,IM,3.38,11-9013,3.75
11-9021.00,Coordination,IM,4,11-9021,4.12
11-9021.00,Management of Personnel Resources,IM,4,11-9021,4.25
11-9021.00,Active Listening,IM,3.88,11-9021,4.12
11-9021.00,Monitoring,IM,3.88,11-9021,4.25
11-9021.00,Speaking,IM,3.88,11-9021,4.12
11-9021.00,Time Management,IM,3.88,11-9021,4
11-9021.00,Complex Problem Solving,IM,3.75,11-9021,4
11-9021.00,Critical Thinking,IM,3.75,11-9021,4.12
11-9021.00,Judgment and Decision Making,IM,3.75,11-9021,4.25
11-9021.00,Reading Comprehension,IM,3.75,11-9021,4.12
11-9031.00,Active Listening,IM,4,11-9031,4
11-9031.00,Coordination,IM,4,11-9031,4
11-9031.00,Critical Thinking,IM,4,11-9031,4
11-9031.00,Monitoring,IM,4,11-9031,4.12
11-9031.00,Reading Comprehension,IM,4,11-9031,4.12
11-9031.00,Speaking,IM,4,11-9031,4
11-9031.00,Complex Problem Solving,IM,3.88,11-9031,3.5
11-9031.00,Instructing,IM,3.88,11-9031,3.88
11-9031.00,Judgment and Decision Making,IM,3.88,11-9031,3.88
11-9031.00,Service Orientation,IM,3.88,11-9031,4
11-9032.00,Active Listening,IM,4.38,11-9032,4.5
11-9032.00,Speaking,IM,4.38,11-9032,4.38
11-9032.00,Critical Thinking,IM,4.25,11-9032,4.38
11-9032.00,Learning Strategies,IM,4.25,11-9032,4.62
11-9032.00,Reading Comprehension,IM,4.25,11-9032,4.62
11-9032.00,Social Perceptiveness,IM,4.25,11-9032,4.25
11-9032.00,Judgment and Decision Making,IM,4.12,11-9032,4.38
11-9032.00,Writing,IM,4.12,11-9032,4.38
11-9032.00,Complex Problem Solving,IM,4,11-9032,4.25
11-9032.00,Coordination,IM,4,11-9032,4.12
11-9033.00,Critical Thinking,IM,4.12,11-9033,4.25
11-9033.00,Reading Comprehension,IM,4.12,11-9033,4.62
11-9033.00,Active Listening,IM,4,11-9033,4.25
11-9033.00,Instructing,IM,4,11-9033,4
11-9033.00,Monitoring,IM,4,11-9033,4.25
11-9033.00,Speaking,IM,4,11-9033,4.25
11-9033.00,Time Management,IM,4,11-9033,4
11-9033.00,Writing,IM,4,11-9033,4.25
11-9033.00,Active Learning,IM,3.88,11-9033,4
11-9033.00,Complex Problem Solving,IM,3.88,11-9033,4
11-9041.00,Reading Comprehension,IM,4.12,11-9041,4.38
11-9041.00,Active Listening,IM,4,11-9041,4
11-9041.00,Complex Problem Solving,IM,4,11-9041,4.25
11-9041.00,Speaking,IM,4,11-9041,4
11-9041.00,Writing,IM,4,11-9041,4.12
11-9041.00,Active Learning,IM,3.88,11-9041,3.88
11-9041.00,Critical Thinking,IM,3.88,11-9041,4.25
11-9041.00,Judgment and Decision Making,IM,3.88,11-9041,4.25
11-9041.00,Mathematics,IM,3.88,11-9041,4.25
11-9041.00,Time Management,IM,3.88,11-9041,4
11-9041.01,Complex Problem Solving,IM,3.62,11-9041,3.88
11-9041.01,Critical Thinking,IM,3.62,11-9041,4.12
11-9041.01,Judgment and Decision Making,IM,3.62,11-9041,3.88
11-9041.01,Reading Comprehension,IM,3.62,11-9041,4.25
11-9041.01,Speaking,IM,3.62,11-9041,3.5
11-9041.01,Systems Analysis,IM,3.62,11-9041,3.5
11-9041.01,Writing,IM,3.62,11-9041,3.88
11-9041.01,Active Listening,IM,3.5,11-9041,3.62
11-9041.01,Systems Evaluation,IM,3.5,11-9041,3.5
11-9041.01,Active Learning,IM,3.25,11-9041,3.75
11-9051.00,Service Orientation,IM,3.88,11-9051,3.62
11-9051.00,Active Listening,IM,3.75,11-9051,3.5
11-9051.00,Management of Personnel Resources,IM,3.75,11-9051,3.75
11-9051.00,Monitoring,IM,3.75,11-9051,3.88
11-9051.00,Speaking,IM,3.75,11-9051,3.62
11-9051.00,Coordination,IM,3.62,11-9051,3.75
11-9051.00,Critical Thinking,IM,3.62,11-9051,3.75
11-9051.00,Reading Comprehension,IM,3.62,11-9051,3.62
11-9051.00,Social Perceptiveness,IM,3.62,11-9051,3.75
11-9051.00,Time Management,IM,3.5,11-9051,3.75
11-9071.00,Critical Thinking,IM,4,11-9071,4
11-9071.00,Management of Personnel Resources,IM,4,11-9071,4
11-9071.00,Monitoring,IM,3.88,11-9071,4
11-9071.00,Speaking,IM,3.88,11-9071,3.88
11-9071.00,Active Listening,IM,3.75,11-9071,3.75
11-9071.00,Complex Problem Solving,IM,3.75,11-9071,3.12
11-9071.00,Coordination,IM,3.75,11-9071,4.12
11-9071.00,Judgment and Decision Making,IM,3.75,11-9071,3.62
11-9071.00,Service Orientation,IM,3.75,11-9071,3.75
11-9071.00,Social Perceptiveness,IM,3.75,11-9071,4
11-9081.00,Active Listening,IM,4.12,11-9081,4
11-9081.00,Service Orientation,IM,4.12,11-9081,4.12
11-9081.00,Management of Personnel Resources,IM,4,11-9081,4
11-9081.00,Social Perceptiveness,IM,4,11-9081,3.88
11-9081.00,Speaking,IM,4,11-9081,4
11-9081.00,Coordination,IM,3.88,11-9081,3.75
11-9081.00,Negotiation,IM,3.88,11-9081,4
11-9081.00,Reading Comprehension,IM,3.88,11-9081,3.88
11-9081.00,Writing,IM,3.88,11-9081,4
11-9081.00,Active Learning,IM,3.75,11-9081,3.88
11-9111.00,Critical Thinking,IM,4.12,11-9111,4.12
11-9111.00,Speaking,IM,4.12,11-9111,4
11-9111.00,Active Listening,IM,4,11-9111,4.12
11-9111.00,Complex Problem Solving,IM,4,11-9111,3.5
11-9111.00,Judgment and Decision Making,IM,4,11-9111,4
11-9111.00,Management of Personnel Resources,IM,4,11-9111,4.12
11-9111.00,Monitoring,IM,4,11-9111,4.12
11-9111.00,Reading Comprehension,IM,4,11-9111,4.12
11-9111.00,Social Perceptiveness,IM,4,11-9111,4
11-9111.00,Time Management,IM,4,11-9111,4
11-9121.00,Science,IM,4.12,11-9121,4.88
11-9121.00,Active Listening,IM,4,11-9121,4.75
11-9121.00,Critical Thinking,IM,4,11-9121,4.38
11-9121.00,Monitoring,IM,4,11-9121,4.12
11-9121.00,Reading Comprehension,IM,4,11-9121,5
11-9121.00,Complex Problem Solving,IM,3.88,11-9121,4.25
11-9121.00,Speaking,IM,3.88,11-9121,4.25
11-9121.00,Writing,IM,3.88,11-9121,5
11-9121.00,Judgment and Decision Making,IM,3.75,11-9121,4.12
11-9121.00,Management of Personnel Resources,IM,3.62,11-9121,4.62
11-9121.01,Active Listening,IM,4,11-9121,4
11-9121.01,Reading Comprehension,IM,4,11-9121,4.25
11-9121.01,Writing,IM,4,11-9121,4
11-9121.01,Coordination,IM,3.88,11-9121,4.12
11-9121.01,Speaking,IM,3.88,11-9121,4
11-9121.01,Critical Thinking,IM,3.75,11-9121,4
11-9121.01,Complex Problem Solving,IM,3.62,11-9121,3.62
11-9121.01,Judgment and Decision Making,IM,3.62,11-9121,3.62
11-9121.01,Monitoring,IM,3.62,11-9121,3.75
11-9121.01,Social Perceptiveness,IM,3.62,11-9121,3.75
11-9121.02,Active Listening,IM,4,11-9121,4
11-9121.02,Critical Thinking,IM,4,11-9121,4
11-9121.02,Reading Comprehension,IM,4,11-9121,4.12
11-9121.02,Speaking,IM,4,11-9121,4
11-9121.02,Writing,IM,4,11-9121,4
11-9121.02,Judgment and Decision Making,IM,3.88,11-9121,3.88
11-9121.02,Time Management,IM,3.88,11-9121,3.88
11-9121.02,Complex Problem Solving,IM,3.75,11-9121,4.12
11-9121.02,Systems Analysis,IM,3.62,11-9121,4
11-9121.02,Systems Evaluation,IM,3.62,11-9121,3.88
11-9131.00,Active Listening,IM,4,11-9131,3.38
11-9131.00,Coordination,IM,4,11-9131,3.5
11-9131.00,Reading Comprehension,IM,4,11-9131,3.88
11-9131.00,Social Perceptiveness,IM,4,11-9131,3.5
11-9131.00,Speaking,IM,4,11-9131,4
