date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:11	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://jelenm01.wixsite.com/robots.txt		(from )
14:51:11	920316/920316	---MCZ	200	added ('OK')	text/html	etag:W/%22ee9d4de4db489f88045577b7ecae2612%22	https://jelenm01.wixsite.com/jelenssite-1	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/jelenm01.wixsite.com/jelenssite-1.html	(from )
14:51:12	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:12	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:12	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Dec%202024%2020:51:13%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:13	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:51:14%20GMT	https://jelenm01.wixsite.com/i	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/jelenm01.wixsite.com/i.4.delayed	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:13	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:51:14%20GMT	https://jelenm01.wixsite.com/t	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/jelenm01.wixsite.com/t.5.delayed	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:51:15%20GMT	https://jelenm01.wixsite.com/	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/jelenm01.wixsite.com/index.html	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:51:15%20GMT	https://jelenm01.wixsite.com/media/emptystate.85a4add5.svg	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/jelenm01.wixsite.com/media/emptystate.85a4add5.7.delayed	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	3957/3957	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Dec%202024%2020:51:15%20GMT	https://static.wixstatic.com/media/57f68b_e8d15be422424e88b35421c15019ae6e~mv2.jpeg/v1/fill/w_123,h_186,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/57f68b_e8d15be422424e88b35421c15019ae6e~mv2.jpeg	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_e8d15be422424e88b35421c15019ae6e_mv2.jpe/v1/fil/57f68b_e8d15be422424e88	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	30636/30636	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:48%20GMT	https://static.wixstatic.com/media/57f68b_7a0cf11f9eac45c38b2623b5583a6f38~mv2.png/v1/fit/w_480,h_622,q_90/57f68b_7a0cf11f9eac45c38b2623b5583a6f38~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_7a0cf11f9eac45c38b2623b5583a6f38_mv2.png/v1/fit/57f68b_7a0cf11f9eac45c3	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	25112/25112	---M-Z	200	added ('OK')	application/javascript	etag:W/%226dcd805da3c0da864bde837cc6654308%22	https://static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	76643/76643	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:47%20GMT	https://static.wixstatic.com/media/57f68b_db251a6248d1472a9169df9b17484b77~mv2.png/v1/fit/w_480,h_622,q_90/57f68b_db251a6248d1472a9169df9b17484b77~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_db251a6248d1472a9169df9b17484b77_mv2.png/v1/fit/57f68b_db251a6248d1472a	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	202962/202962	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:48%20GMT	https://static.wixstatic.com/media/57f68b_4b9f2b7dd9e14ced8a03ae23fbf62490~mv2.png/v1/fit/w_960,h_622,q_90/57f68b_4b9f2b7dd9e14ced8a03ae23fbf62490~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_4b9f2b7dd9e14ced8a03ae23fbf62490_mv2.png/v1/fit/57f68b_4b9f2b7dd9e14ced	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	70662/70662	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:48%20GMT	https://static.wixstatic.com/media/57f68b_d9995a19b35e4304987caea05b48c09a~mv2.png/v1/fit/w_480,h_469,q_90/57f68b_d9995a19b35e4304987caea05b48c09a~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_d9995a19b35e4304987caea05b48c09a_mv2.png/v1/fit/57f68b_d9995a19b35e4304	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:14	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:15	15200/15200	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:49%20GMT	https://static.wixstatic.com/media/57f68b_19eaebe676d34fed8173a6ea3515e719~mv2.png/v1/fit/w_669,h_251,q_90/57f68b_19eaebe676d34fed8173a6ea3515e719~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_19eaebe676d34fed8173a6ea3515e719_mv2.png/v1/fit/57f68b_19eaebe676d34fed	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:15	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:51:16%20GMT	https://jelenm01.wixsite.com/sitemap.xml	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/jelenm01.wixsite.com/sitemap.2a.delayed	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:15	76075/76075	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:49%20GMT	https://static.wixstatic.com/media/57f68b_eae98bbe1ed74b76958b2d1a160b17b8~mv2.png/v1/fit/w_480,h_624,q_90/57f68b_eae98bbe1ed74b76958b2d1a160b17b8~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_eae98bbe1ed74b76958b2d1a160b17b8_mv2.png/v1/fit/57f68b_eae98bbe1ed74b76	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:15	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:51:16%20GMT	https://jelenm01.wixsite.com/feed.xml	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/jelenm01.wixsite.com/feed.2b.delayed	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:15	148449/148449	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:50%20GMT	https://static.wixstatic.com/media/57f68b_be86583465bd45c7b3fe41b5f4a58eb4~mv2.png/v1/fit/w_960,h_621,q_90/57f68b_be86583465bd45c7b3fe41b5f4a58eb4~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_be86583465bd45c7b3fe41b5f4a58eb4_mv2.png/v1/fit/57f68b_be86583465bd45c7	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:15	136510/136510	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b14bed75b9f26a531c63b1fde9ca31%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.d87b306d.bundle.min.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.d87b306d.bundle.min.js	(from https://jelenm01.wixsite.com/jelenssite-1)
14:51:16	83125/83125	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2018:06:50%20GMT	https://static.wixstatic.com/media/57f68b_291f521b788b4caeb034c56b04b3d660~mv2.png/v1/fit/w_480,h_624,q_90/57f68b_291f521b788b4caeb034c56b04b3d660~mv2.png	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jevans/static.wixstatic.com/media/57f68b_291f521b788b4caeb034c56b04b3d660_mv2.png/v1/fit/57f68b_291f521b788b4cae	(from https://jelenm01.wixsite.com/jelenssite-1)
