date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:23	308/308	---MCZ	200	added ('OK')	text/plain	etag:W/%22216-zjG4R8NwguzBwMnN3Q9OzlrasEM%22	https://www.johnstauffer.net/robots.txt		(from )
14:37:24	497147/497147	---MCZ	200	added ('OK')	text/html	etag:W/%22617df71d7b176d20b5becae404333695%22	https://www.johnstauffer.net/	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/index.html	(from )
14:37:24	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.johnstauffer.net/)
14:37:24	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.johnstauffer.net/)
14:37:25	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Dec%202024%2020:37:25%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.johnstauffer.net/)
14:37:26	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:37:27%20GMT	https://www.johnstauffer.net/i	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/i.3.delayed	(from https://www.johnstauffer.net/)
14:37:26	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2020:37:27%20GMT	https://www.johnstauffer.net/t	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/t.4.delayed	(from https://www.johnstauffer.net/)
14:37:27	428612/428612	---MCZ	200	added ('OK')	text/html	etag:W/%22fc599f5c070c24e14a6989051025c665%22	https://www.johnstauffer.net/resume	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/resume.html	(from https://www.johnstauffer.net/)
14:37:28	610128/610128	---MCZ	200	added ('OK')	text/html	etag:W/%22c005ad29da49255acda249447c8aaa99%22	https://www.johnstauffer.net/portfolio	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/portfolio.html	(from https://www.johnstauffer.net/)
14:37:29	444673/444673	---MCZ	200	added ('OK')	text/html	etag:W/%22fec78d57ff4a05ec7f6b309acf128b8c%22	https://www.johnstauffer.net/about-3	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/about-3.html	(from https://www.johnstauffer.net/)
14:37:29	417693/417693	---MCZ	200	added ('OK')	text/html	etag:W/%2275457cf36371e413aa332d2e84c8ee1b%22	https://www.johnstauffer.net/blank-1	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/blank-1.html	(from https://www.johnstauffer.net/)
14:37:31	453869/453869	---MCZ	200	added ('OK')	text/html	etag:W/%22df1ede6f299a4971558ab16e2ac563e2%22	https://www.johnstauffer.net/blank-3	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/www.johnstauffer.net/blank-3.html	(from https://www.johnstauffer.net/)
14:37:31	25112/25112	---M-Z	200	added ('OK')	application/javascript	etag:W/%226dcd805da3c0da864bde837cc6654308%22	https://static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/jstauffer/static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	(from https://www.johnstauffer.net/)
