date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:08	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://madisonsample2020.wixsite.com/robots.txt		(from )
15:00:09	604208/604208	---MCZ	200	added ('OK')	text/html	etag:W/%227f5e7d01b757c2d74f9ec8e4ffa87068%22	https://madisonsample2020.wixsite.com/madison-hutchinson-m	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/madisonsample2020.wixsite.com/madison-hutchinson-m.html	(from )
15:00:09	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
15:00:09	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
15:00:10	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Dec%202024%2021:00:10%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
15:00:10	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2021:00:11%20GMT	https://madisonsample2020.wixsite.com/i	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/madisonsample2020.wixsite.com/i.4.delayed	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
15:00:10	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2021:00:11%20GMT	https://madisonsample2020.wixsite.com/t	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/madisonsample2020.wixsite.com/t.5.delayed	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
15:00:11	2477/2477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2021:00:12%20GMT	https://madisonsample2020.wixsite.com/	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/madisonsample2020.wixsite.com/index.html	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
15:00:12	542438/542438	---MCZ	200	added ('OK')	text/html	etag:W/%22bf46851470ec08b948235b3d1c097d8f%22	https://madisonsample2020.wixsite.com/madison-hutchinson-m/general-5	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/madisonsample2020.wixsite.com/madison-hutchinson-m/general-5.html	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
15:00:13	531668/531668	---MCZ	200	added ('OK')	text/html	etag:W/%22bd42bce2fd5b00e4e8372778c90c1eb1%22	https://madisonsample2020.wixsite.com/madison-hutchinson-m/s-projects-basic	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mhutchinson/madisonsample2020.wixsite.com/madison-hutchinson-m/s-projects-basic.html	(from https://madisonsample2020.wixsite.com/madison-hutchinson-m)
