date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:28	313/313	---MCZ	200	added ('OK')	text/plain	etag:W/%2221f-ecpI9Cc3I3U+XtIs+7lVpZ9fRvM%22	https://www.madisonlewisportfolio.com/robots.txt		(from )
15:03:29	430437/430437	---MCZ	200	added ('OK')	text/html	etag:W/%229915b474bb26fb11b2ca25904b6381d5%22	https://www.madisonlewisportfolio.com/	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/www.madisonlewisportfolio.com/index.html	(from )
15:03:29	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.madisonlewisportfolio.com/)
15:03:29	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.madisonlewisportfolio.com/)
15:03:30	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Dec%202024%2021:03:30%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.madisonlewisportfolio.com/)
15:03:30	5289/5289	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Dec%202024%2021:03:31%20GMT	https://static.wixstatic.com/media/41d000_9724e5a0e7b726020d137b111fa7e916.jpg/v1/fill/w_288,h_288,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/41d000_9724e5a0e7b726020d137b111fa7e916.jpg	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/static.wixstatic.com/media/41d000_9724e5a0e7b726020d137b111fa7e916.jpg/v1/fill/w_/41d000_9724e5a0e7b72602	(from https://www.madisonlewisportfolio.com/)
15:03:31	385549/385549	---MCZ	200	added ('OK')	text/html	etag:W/%225cf3c7905880c728fb5afb684865a7a8%22	https://www.madisonlewisportfolio.com/photography	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/www.madisonlewisportfolio.com/photography.html	(from https://www.madisonlewisportfolio.com/)
15:03:32	495653/495653	---MCZ	200	added ('OK')	text/html	etag:W/%226cfb258edc617d323a79e8f743122739%22	https://www.madisonlewisportfolio.com/pre-production	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/www.madisonlewisportfolio.com/pre-production.html	(from https://www.madisonlewisportfolio.com/)
15:03:34	374268/374268	---MCZ	200	added ('OK')	text/html	etag:W/%22355dff45fe1a3a737f9eed8e1a89f111%22	https://www.madisonlewisportfolio.com/resume	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/www.madisonlewisportfolio.com/resume.html	(from https://www.madisonlewisportfolio.com/)
15:03:34	344021/344021	---MCZ	200	added ('OK')	text/html	etag:W/%2252bd7fb4d4c72ccd6a687d79b1b1a570%22	https://www.madisonlewisportfolio.com/contact	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/mlewis/www.madisonlewisportfolio.com/contact.html	(from https://www.madisonlewisportfolio.com/)
