date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:56	399/399	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2021:04:57%20GMT	https://sophmagnussenport.my.canva.site/robots.txt		(from )
15:04:56	116899/116899	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202024%2021:04:57%20GMT	https://sophmagnussenport.my.canva.site/	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/index.html	(from )
15:04:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2021:04:57%20GMT	http://sophmagnussenport.my.canva.site/a0684b0780c739e9.vendor.ltr.css	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/a0684b0780c739e9.vendor.ltr.0.delayed	(from https://sophmagnussenport.my.canva.site/)
15:04:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2021:04:58%20GMT	http://sophmagnussenport.my.canva.site/0b6d80cb497ba2db.ltr.css	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/0b6d80cb497ba2db.ltr.css	(from https://sophmagnussenport.my.canva.site/)
15:04:57	10359/10359	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Dec%202024%2021:04:58%20GMT	https://sophmagnussenport.my.canva.site/a0684b0780c739e9.vendor.ltr.css	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/a0684b0780c739e9.vendor.ltr.css	(from https://sophmagnussenport.my.canva.site/)
15:04:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2021:04:58%20GMT	http://sophmagnussenport.my.canva.site/static_font_4.ltr.css	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/static_font_4.ltr.css	(from https://sophmagnussenport.my.canva.site/)
15:04:57	138428/138428	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Dec%202024%2021:04:58%20GMT	https://sophmagnussenport.my.canva.site/0b6d80cb497ba2db.ltr.css	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/0b6d80cb497ba2db.ltr.css	(from https://sophmagnussenport.my.canva.site/)
15:04:57	1506/1506	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Dec%202024%2021:04:58%20GMT	https://sophmagnussenport.my.canva.site/static_font_4.ltr.css	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/static_font_4.ltr.css	(from https://sophmagnussenport.my.canva.site/)
15:04:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2021:04:59%20GMT	http://sophmagnussenport.my.canva.site/4ea1331583bd324c.strings.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/4ea1331583bd324c.strings.js	(from https://sophmagnussenport.my.canva.site/)
15:04:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2021:04:59%20GMT	http://sophmagnussenport.my.canva.site/74290ec72ffbca45.en.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/74290ec72ffbca45.en.js	(from https://sophmagnussenport.my.canva.site/)
15:04:59	10024/10024	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Dec%202024%2021:04:59%20GMT	https://sophmagnussenport.my.canva.site/4ea1331583bd324c.strings.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/4ea1331583bd324c.strings.js	(from https://sophmagnussenport.my.canva.site/)
15:04:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2021:05:00%20GMT	http://sophmagnussenport.my.canva.site/a81be13f00fa59ad.runtime.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/a81be13f00fa59ad.runtime.js	(from https://sophmagnussenport.my.canva.site/)
15:04:59	257/257	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Dec%202024%2021:05:00%20GMT	https://sophmagnussenport.my.canva.site/74290ec72ffbca45.en.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/74290ec72ffbca45.en.js	(from https://sophmagnussenport.my.canva.site/)
15:04:59	22456/22456	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Dec%202024%2021:05:00%20GMT	https://sophmagnussenport.my.canva.site/a81be13f00fa59ad.runtime.js	D:/OneDrive%20-%20Southern%20Illinois%20University%20Edwardsville/APsidian/Service/Tech%20Committee/Website%20Committee/senior-portfolios/smagnussen/sophmagnussenport.my.canva.site/a81be13f00fa59ad.runtime.js	(from https://sophmagnussenport.my.canva.site/)
