business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday
yM8LlTInbQH4FwWC97lz6w,McDonald's,1919 S Jefferson,St. Louis,MO,63104,38.6124951839,-90.2219420671,1.5,100,1,"Fast Food, Restaurants, Food, Burgers, Coffee & Tea",,True,True,1,,True,True,False,'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,True,True,False,,u'none',True,u'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,True,True,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}",,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
cSeA6pC9JUlGfz-RNfvnGw,Midwest RV Center,6200 Heimos Industrial Park Dr,St. Louis,MO,63129,38.4641559029,-90.3716691032,4,33,1,"Trailer Dealers, Auto Parts & Supplies, Auto Repair, RV Repair, Local Services, Trailer Repair, RV Dealers, Shopping, Automotive, Propane, Outdoor Gear, Sporting Goods",,True,True,2,,,,,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-16:0,
0Up4mOWP588Leb_dqoDiYQ,Rogers & Hollands® Jewelers,18 S County Center Way,St. Louis,MO,63129,38.5062356465,-90.3315210422,4,7,1,"Watches, Jewelry Repair, Local Services, Shopping, Jewelry, Bridal",False,True,,2,,True,False,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-20:0,11:0-20:0,11:0-18:0
hsyIDX4x4ndYEvPoJF6_1g,Merendero La Catrachitas,5639 S Kingshighway Blvd,St. Louis,MO,63109,38.5787245,-90.2822168,4.5,22,1,"Latin American, Honduran, Restaurants",,,,2,,True,True,True,,"{'garage': None, 'street': True, 'validated': None, 'lot': None, 'valet': False}",,,,True,,,,,,"{'touristy': None, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}",True,False,,,,,,,,,,,,,,,,,,10:0-21:0,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-20:0
9qxMhGWjGsuPUoQB3Y74Wg,McDonald's,1119 N Tucker,St. Louis,MO,63101,38.6369079537,-90.1954829934,1.5,62,1,"Food, Restaurants, Coffee & Tea, Burgers, Fast Food",,True,True,1,,True,True,,'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,False,True,False,,,True,'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,True,True,'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
bJ7h_SLSrnxEj61E6Qv9tQ,Exterior Building Solutions,8100 Watson Rd,St. Louis,MO,63119,38.5668422,-90.3445699,2,5,1,"Home Services, Contractors, Siding, Gutter Services, Windows Installation, Roofing",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,,
wMyHVb54Ne9SNasa4kjOCg,Carnivore,5257 Shaw Ave,St. Louis,MO,63110,38.6184117,-90.2741825,4.5,281,1,"Restaurants, Breakfast & Brunch, Steakhouses, Sandwiches",,True,True,2,,True,True,True,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True,False,u'full_bar',True,u'casual',"{u'divey': False, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': None}",True,True,,u'average',"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': True, 'breakfast': None}",,,,,,,False,True,,,,,,,0:0-0:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-22:0,16:0-22:0,10:0-14:0
CqHqTCCNDioX_1cHgIs81Q,Schnucks Creve Coeur,10650 Olive Blvd,St. Louis,MO,63141,38.6724037,-90.4141381,2.5,7,1,"Florists, Drugstores, Shopping, Health & Medical, Flowers & Gifts, Pharmacy, Food, Grocery",,True,,2,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0
MuKoTR56s6elHEI2wUkgJA,Grace Meat + Three,4270 Manchester,St. Louis,MO,63110,38.6267906,-90.2567049,4.5,470,1,"Restaurants, Soul Food, Southern, Soup, Sandwiches, Barbeque, Comfort Food",,True,False,2,,True,True,True,u'no',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,None,True,False,False,u'full_bar',True,'casual',"{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}",False,True,,'average',"{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': None}",,,,,,,,,,,,,,,0:0-0:0,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,10:0-15:0
fsrclV85MTmg3npCmpxOuw,Hair Saloon,"9960 Kennerly Rd, Ste C",St. Louis,MO,63128,38.5062263,-90.37742105,3.5,9,1,"Men's Hair Salons, Hair Salons, Beauty & Spas, Barbers",False,True,True,2,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-18:0,7:0-18:0,
