review_id,user_id,business_id,stars,useful,funny,cool,text,date
NvusujU9_5pIUbn9SZ6hMA,nbVYXmDUO6XH-wvhY62uvg,XMGjDIAFbu9VSmWDs-Ev5w,4,0,0,0,"Stopped by to munch a burger during today's Seahawks/Saints game, and the place was, unsurprisingly, packed. For good reason, too: the Haven burger I ordered was fantastic.

I sat right next to the door, so I didn't get the chance to get more than six feet into the place; as soon as I got my meal, the place started getting busier and busier until I had to work my way through the World's Shortest People Maze to get out. Guess that means I wasn't the first person to hear about the place.

I will be going back to the Haven. Might go for, say lunch on a Tuesday, so it's less busy.",2011-01-08 23:52:22
vHOeBa7aMA_na4rfS2Db5A,QmPSBBPFVj3_G2MceMttDg,0z45rM2paE-O-6w63GEi6g,1,0,0,0,"Yelp doesn't allow to leave 0 star review, so that is why you see one star. Me and my wife are moving from NY to South California, and we contacted 5 different moving companies. I sent my initial email to United Van Lines on 05/02/2018, and soon I got email back with Virtual Survey confirmation for 05/10. The lady that did virtual survey was very meticulous and professional and we ""screened"" through the whole apartment in 15 minutes. No one contacted me after that, so I sent a second email almost a month after, on 06/05 asking if everything is ok, and if I can get the quote. I don't need to mention that other 4 companies sent their quotes in less than 48 hours. Since no one replied til today, I called the direct phone and I left the message on the answering machine. No one called me back. I hope everything is ok, and that no one is hurt, because I don't see any other reasonable explanation why they are avoiding me. Very, very unprofessional.",2018-06-09 01:37:02
hG9RTxxivb0ZXzEk4JXTXA,PuvfPONWyhdtRVPWu7kLpQ,-bGw8ARHQucKWEHEkxpGFw,1,2,0,1,"I find it hard to believe there are so many people with such low standards when it comes to the Daily Bread.

It is a ripoff of St. Louis Bread Co/Panera Bread, which in of itself I don't mind at all.  I have eaten multiple times at the Daily Bread and have yet to have an enjoyable experience.  The food is so-so at best.  Their sandwiches are basic and lack any real flavor.  I also tried the BBQ Chicken pizza and it was okay.  

I certainly wouldn't steer anyone away from this place based on the food.  The food is basic and simple, not bad but also nothing great.

My biggest qualm with the Daily Bread is the service.  The majority of the workers seem utterly uninterested in helping out.  There was a line of about 6 people and one person at the register.  There was no sense of urgency to help any of the customers in line.  We waited for a good 5-6 minutes to put an order in.  After receiving our cups to get our drinks we looked for a clean place to sit and eventually settled on a table top that was the least dirty of the tables available.  There were plenty of open spots but it just appeared as though there was lots of trash left behind.  Does anyone bus these tables?

I anticipate that people are responsible for cleaning up after themselves, but it appeared as though the tables hadn't been effectively cleaned in a while.  There was also some trash on the floor that hadn't been addressed as well.

The order number was called and the order was only halfway completed.  When we asked which sandwich was ours, we were basically ignored as the girl put up two more orders.   After another few minutes the rest of the order came up and we began to eat.  I tried both items and as I stated before, both were okay.  The problem is that the food was just unable to make up for the lack of organization, the slow speed at which we were served, or the cleanliness of the restaurant.

After 3 attempts, I'm writing the Daily Bread off and won't return.  I'd rather go to St. Louis Bread Co, get the same level of food, but in a clean environment and a timely setting.",2010-03-13 22:33:10
zIVkwgahZjOneChZFUYY4g,Z1PqEZMXMkcpa7T_YQFcvg,w6z28easvQLND722s4pNvw,5,0,0,0,"Love this place! Almost all of their menu items can be made vegan. They are super knowledgeable. The Pad Thai with tofu, veggies, and cashews is perfection. The avocado egg rolls are amazing too! A favorite.",2017-12-16 03:11:50
DLczAuvMAlAnY5EeDGhTVg,zHtRMvNaLWYC39WctI2Neg,Z2ltNYVxmLaLGNVB7yFWQA,5,1,0,0,"Excellent customer service. I wish I could rent from there more often! Had such a great experience verses other car rental services. 

Rent if you can!",2015-04-28 20:29:40
Fk-ExH4pvjBcwCuTG81gSg,mbJcmZ_u8VoyKmggkJ11Aw,8U-j_Xz3WMwlI7UTr2zt4w,5,2,0,1,"This may look like just a hole in the wall food establishment but if you judge on that alone, you'd be missing out. The food here is fantastic from the way it's prepared to the seasoning they use. Amazing gyros, fish and chicken in a variety of ways. Whatever you do, please try some dessert when you go.",2017-09-11 22:56:41
cWIVbtHF-b73rxjcaUB0cA,JzupCYb6JmSOY1uau40ZXw,gEJ3a8-m6VB827e6GHromw,4,0,0,0,I had takeout because it was about 45 min prior to closing . I ordered the puttanesca. It was delicious . Perfect combo of salty spiciness. There was such a wide variety of menu combos or you could get the fold and creat your own . Genius ! My only gripe is they need to come up with a gluten free dough option. My tummy will pay for this gluttony later .,2017-03-04 05:43:10
3T50kT4cMgR31JsyRui9VQ,tC07-JtLLUNo7jJXg8Kphw,7x7JGZ7nMLYcL7EY2J0QVw,1,0,0,0,"When I returned to pick up my new glasses, I realized that they are horribly out of focus. Apparently they don't measure out the position of the pupils in respect to lenses in order to position the center of focus there. The staff member tried to talk me into repositioning the glasses however for me to see, they would have to be floating on my face and you can only look at he bottom most part. Umm no! Then she stated that she did measure but I don't remember such action being taken.  I asked for the lenses to be redone and they promised to send them off as urgent. Well, still no glasses.",2016-01-30 16:10:22
NoQnvAU6iiy8ZdYvxzkIeQ,Ovf_Mj2t8rznC3-FeRHWdA,Z2ltNYVxmLaLGNVB7yFWQA,2,0,0,0,"***Please note that if you lose something valuable you may not get it back. The person who may clean the vehicle may be a thief. I left in the car my radar detector complete with a case not logged in to their lost and found. When I check in my rental on 12/21 and returned 01/02/2018 to visit the counter they told me nothing was found. They also told me that for something with a case go missing was very unlikely. Yet they found nothing. Hmmm, I wonder how it can go missing when it was the only place I left it? I filed a lost ticket with them; Reference Number: 4355421, Reported: 12/21/2017.

They may think their employees may be honest but my $300 radar detector is nowhere to be found at their location. So? Yes, one of their employee's stole it. 

I'm a fan of the concept of picking your car. As someone who has been using the same rental place in St. Louis Airport for 8 months and counting. I can tell you they do lousy job at cleaning the cars. I'm always finding plastic bottles underneath the back seats.

I'm also finding a lot un-wiped of front seat and dashboard areas full of sticky substances. The cars are never fully clean as someone who rents from them weekly.

This location does a shitty job of making cars ready for travel. As someone who has access to the execute cars due to the amount of travel I do. They fail to meet some simple travel requirements you expect when you rent. 

Next time you rent look underneath the seats in the passenger areas and you may find plastic bottle under them.

I would love for them to review the cameras and see who cleaned the car so they can fire them on the day I returned the rental! I brought them thousand of dollars and I do expect a refund for the stolen item.",2018-01-10 03:12:43
pNs-xLIaPPB98_itKve9gQ,OxOEyH0OxKH4e3E6xqy9-Q,VgGITb54IIb1G0gSVt3gkw,4,1,0,0,Great location and a great staff.,2013-09-04 13:35:06
